"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1174_001b', '08JD1174_001', '08JD1174', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'A635', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1120_001b', '08JD1120_001', '08JD1120', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'NC314', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1198_001b', '08JD1198_001', '08JD1198', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'R177', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1270_001b', '08JD1270_001', '08JD1270', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'F7', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1148_001b', '08JD1148_001', '08JD1148', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'NC366', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1160_001b', '08JD1160_001', '08JD1160', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Mo.G', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1040_001b', '08JD1040_001', '08JD1040', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'N192', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1034_001b', '08JD1034_001', '08JD1034', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'A554', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
