08SC1045,NULL,08SC,140,NULL,NULL,07FL392,2,23,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1046,NULL,08SC,150,NULL,NULL,07A4641,2,23,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1047,NULL,08SC,158,NULL,NULL,07A5315,2,24,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1048,NULL,08SC,190,NULL,NULL,07A3496,2,24,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1049,NULL,08SC,163,NULL,NULL,07FL408,2,25,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1050,NULL,08SC,50,NULL,NULL,07FL339,2,25,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1051,NULL,08SC,27,NULL,NULL,07FL326,2,26,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1052,NULL,08SC,175,NULL,NULL,07A2201,2,26,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1053,NULL,08SC,176,NULL,NULL,07FL416,2,27,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1054,NULL,08SC,180,NULL,NULL,06A0025,2,27,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1055,NULL,08SC,182,NULL,NULL,07A5193,2,28,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1056,NULL,08SC,99,NULL,NULL,07A1477,2,28,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1057,NULL,08SC,80,NULL,NULL,07FL360,2,29,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1058,NULL,08SC,142,NULL,NULL,07A3958,2,29,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1059,NULL,08SC,60,NULL,NULL,07FL347,2,30,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1060,NULL,08SC,117,NULL,NULL,07A4486,2,30,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
