07PN0008_008x,07PN0008_008,07PN0008,07PN,07N08.08,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-28,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_009x,07PN0008_009,07PN0008,07PN,07N08.09,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-29,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_010x,07PN0008_010,07PN0008,07PN,07N08.10,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-30,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_011x,07PN0008_011,07PN0008,07PN,07N08.11,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-31,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_012x,07PN0008_012,07PN0008,07PN,07N08.12,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-32,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_013x,07PN0008_013,07PN0008,07PN,07N08.13,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-33,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_014x,07PN0008_014,07PN0008,07PN,07N08.14,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-34,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_015x,07PN0008_015,07PN0008,07PN,07N08.15,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-35,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_016x,07PN0008_016,07PN0008,07PN,07N08.16,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-36,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_001x,07PN0009_001,07PN0009,07PN,07N09.01,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-21,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_002x,07PN0009_002,07PN0009,07PN,07N09.02,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-22,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_003x,07PN0009_003,07PN0009,07PN,07N09.03,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-23,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_004x,07PN0009_004,07PN0009,07PN,07N09.04,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-24,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_005x,07PN0009_005,07PN0009,07PN,07N09.05,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-25,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_006x,07PN0009_006,07PN0009,07PN,07N09.06,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-26,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_007x,07PN0009_007,07PN0009,07PN,07N09.07,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-27,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_009x,07PN0009_009,07PN0009,07PN,07N09.09,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-29,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_010x,07PN0009_010,07PN0009,07PN,07N09.10,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-30,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_011x,07PN0009_011,07PN0009,07PN,07N09.11,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-31,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_012x,07PN0009_012,07PN0009,07PN,07N09.12,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-32,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_013x,07PN0009_013,07PN0009,07PN,07N09.13,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-33,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_014x,07PN0009_014,07PN0009,07PN,07N09.14,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-34,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_015x,07PN0009_015,07PN0009,07PN,07N09.15,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-35,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0009_016x,07PN0009_016,07PN0009,07PN,07N09.16,07N09,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-36,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_001x,07PN0010_001,07PN0010,07PN,07N10.01,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-21,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_002x,07PN0010_002,07PN0010,07PN,07N10.02,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-22,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_003x,07PN0010_003,07PN0010,07PN,07N10.03,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-23,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_004x,07PN0010_004,07PN0010,07PN,07N10.04,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-24,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_005x,07PN0010_005,07PN0010,07PN,07N10.05,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-25,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_006x,07PN0010_006,07PN0010,07PN,07N10.06,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-26,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_007x,07PN0010_007,07PN0010,07PN,07N10.07,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-27,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
