09BD0184_001b,NULL,09BD0184,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A632,NULL,31,NULL,NULL,NULL,NULL
09BD0185_001b,NULL,09BD0185,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC33,NULL,31,NULL,NULL,NULL,NULL
09BD0192_001b,NULL,09BD0192,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML322,NULL,31,NULL,NULL,NULL,NULL
09BD0194_001b,NULL,09BD0194,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC238,NULL,31,NULL,NULL,NULL,NULL
09BD0196_001b,NULL,09BD0196,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N6,NULL,31,NULL,NULL,NULL,NULL
09BD0202_001b,NULL,09BD0202,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B52,NULL,31,NULL,NULL,NULL,NULL
09BD0203_001b,NULL,09BD0203,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CI64,NULL,31,NULL,NULL,NULL,NULL
09BD0204_001b,NULL,09BD0204,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML331,NULL,31,NULL,NULL,NULL,NULL
09BD0205_001b,NULL,09BD0205,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC360,NULL,31,NULL,NULL,NULL,NULL
09BD0209_001b,NULL,09BD0209,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B84,NULL,31,NULL,NULL,NULL,NULL
09BD0217_001b,NULL,09BD0217,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CH701-30,NULL,31,NULL,NULL,NULL,NULL
09BD0223_001b,NULL,09BD0223,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC264,NULL,31,NULL,NULL,NULL,NULL
09BD0224_001b,NULL,09BD0224,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pa91,NULL,31,NULL,NULL,NULL,NULL
09BD0227_001b,NULL,09BD0227,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC354,NULL,31,NULL,NULL,NULL,NULL
09BD0228_001b,NULL,09BD0228,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I205,NULL,31,NULL,NULL,NULL,NULL
09BD0229_001b,NULL,09BD0229,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC358,NULL,31,NULL,NULL,NULL,NULL
09BD0230_001b,NULL,09BD0230,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tx601,NULL,31,NULL,NULL,NULL,NULL
09BD0232_001b,NULL,09BD0232,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B115,NULL,31,NULL,NULL,NULL,NULL
09BD0233_001b,NULL,09BD0233,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC290A,NULL,31,NULL,NULL,NULL,NULL
09BD0238_001b,NULL,09BD0238,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SD40,NULL,31,NULL,NULL,NULL,NULL
09BD0239_001b,NULL,09BD0239,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B68,NULL,31,NULL,NULL,NULL,NULL
09BD0249_001b,NULL,09BD0249,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC336,NULL,31,NULL,NULL,NULL,NULL
09BD0252_001b,NULL,09BD0252,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC342,NULL,31,NULL,NULL,NULL,NULL
09BD0253_001b,NULL,09BD0253,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D940Y,NULL,31,NULL,NULL,NULL,NULL
09BD0254_001b,NULL,09BD0254,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A659,NULL,31,NULL,NULL,NULL,NULL
09BD0255_001b,NULL,09BD0255,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F2834T,NULL,31,NULL,NULL,NULL,NULL
09BD0257_001b,NULL,09BD0257,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B104,NULL,31,NULL,NULL,NULL,NULL
09BD0259_001b,NULL,09BD0259,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C123,NULL,31,NULL,NULL,NULL,NULL
09BD0260_001b,NULL,09BD0260,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML314,NULL,31,NULL,NULL,NULL,NULL
09BD0262_001b,NULL,09BD0262,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B77,NULL,31,NULL,NULL,NULL,NULL
09BD0264_001b,NULL,09BD0264,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KY228,NULL,31,NULL,NULL,NULL,NULL
09BD0265_001b,NULL,09BD0265,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B57,NULL,31,NULL,NULL,NULL,NULL
09BD0266_001b,NULL,09BD0266,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE811,NULL,31,NULL,NULL,NULL,NULL
09BD0268_001b,NULL,09BD0268,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC350,NULL,31,NULL,NULL,NULL,NULL
09BD0269_001b,NULL,09BD0269,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC302,NULL,31,NULL,NULL,NULL,NULL
09BD0270_001b,NULL,09BD0270,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,W22 R-r:std,NULL,31,NULL,NULL,NULL,NULL
09BD0276_001b,NULL,09BD0276,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC356,NULL,31,NULL,NULL,NULL,NULL
09BD0278_001b,NULL,09BD0278,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC358,NULL,31,NULL,NULL,NULL,NULL
09BD0279_001b,NULL,09BD0279,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A188,NULL,31,NULL,NULL,NULL,NULL
09BD0285_001b,NULL,09BD0285,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B109,NULL,31,NULL,NULL,NULL,NULL
09BD0286_001b,NULL,09BD0286,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC344,NULL,31,NULL,NULL,NULL,NULL
09BD0287_001b,NULL,09BD0287,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC368,NULL,31,NULL,NULL,NULL,NULL
09BD0290_001b,NULL,09BD0290,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CI21E,NULL,31,NULL,NULL,NULL,NULL
09BD0291_001b,NULL,09BD0291,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38-11,NULL,31,NULL,NULL,NULL,NULL
09BD0296_001b,NULL,09BD0296,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B97,NULL,31,NULL,NULL,NULL,NULL
09BD0297_001b,NULL,09BD0297,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mo45,NULL,31,NULL,NULL,NULL,NULL
09BD0299_001b,NULL,09BD0299,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML38,NULL,31,NULL,NULL,NULL,NULL
09BD0305_001b,NULL,09BD0305,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B79,NULL,31,NULL,NULL,NULL,NULL
09BD0307_001b,NULL,09BD0307,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML14,NULL,31,NULL,NULL,NULL,NULL
09BD0314_001b,NULL,09BD0314,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC222,NULL,31,NULL,NULL,NULL,NULL
09BD0317_001b,NULL,09BD0317,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC356,NULL,31,NULL,NULL,NULL,NULL
09BD0321_001b,NULL,09BD0321,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tzi18,NULL,31,NULL,NULL,NULL,NULL
09BD0329_001b,NULL,09BD0329,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC310,NULL,31,NULL,NULL,NULL,NULL
09BD0334_001b,NULL,09BD0334,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC358,NULL,31,NULL,NULL,NULL,NULL
09BD0335_001b,NULL,09BD0335,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CI64,NULL,31,NULL,NULL,NULL,NULL
09BD0338_001b,NULL,09BD0338,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KY228,NULL,31,NULL,NULL,NULL,NULL
09BD0340_001b,NULL,09BD0340,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pa91,NULL,31,NULL,NULL,NULL,NULL
09BD0341_001b,NULL,09BD0341,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B115,NULL,31,NULL,NULL,NULL,NULL
09BD0342_001b,NULL,09BD0342,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4226,NULL,31,NULL,NULL,NULL,NULL
09BD0343_001b,NULL,09BD0343,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A632,NULL,31,NULL,NULL,NULL,NULL
09BD0344_001b,NULL,09BD0344,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B77,NULL,31,NULL,NULL,NULL,NULL
09BD0345_001b,NULL,09BD0345,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Va14,NULL,31,NULL,NULL,NULL,NULL
09BD0349_001b,NULL,09BD0349,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CI31A,NULL,31,NULL,NULL,NULL,NULL
09BD0350_001b,NULL,09BD0350,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B37,NULL,31,NULL,NULL,NULL,NULL
