10TF2462_001s,10TF2462_001,10TF2462,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2462_007s,10TF2462_007,10TF2462,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2470_002s,10TF2470_002,10TF2470,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2473_003s,10TF2473_003,10TF2473,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2475_003s,10TF2475_003,10TF2475,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2475_008s,10TF2475_008,10TF2475,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2493_007s,10TF2493_007,10TF2493,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2494_002s,10TF2494_002,10TF2494,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2494_004s,10TF2494_004,10TF2494,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2507_002s,10TF2507_002,10TF2507,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2511_004s,10TF2511_004,10TF2511,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2540_002s,10TF2540_002,10TF2540,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2540_005s,10TF2540_005,10TF2540,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2552_001s,10TF2552_001,10TF2552,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2552_005s,10TF2552_005,10TF2552,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2554_003s,10TF2554_003,10TF2554,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2563_003s,10TF2563_003,10TF2563,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2563_005s,10TF2563_005,10TF2563,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2582_003s,10TF2582_003,10TF2582,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2585_002s,10TF2585_002,10TF2585,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2602_002s,10TF2602_002,10TF2602,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
