1,1,1,No Plant,No Plant,No Plant
331,68390,1,1,NULL,NULL,NULL
332,68391,1,1,NULL,NULL,NULL
333,68392,1,1,NULL,NULL,NULL
334,68393,1,1,NULL,NULL,NULL
335,68394,1,1,NULL,NULL,NULL
336,68395,1,1,NULL,NULL,NULL
337,68396,1,1,NULL,NULL,NULL
338,68397,1,1,NULL,NULL,NULL
339,68398,1,1,NULL,NULL,NULL
340,68399,1,1,NULL,NULL,NULL
341,68400,1,1,NULL,NULL,NULL
342,68401,1,1,NULL,NULL,NULL
343,68402,1,1,NULL,NULL,NULL
344,68403,1,1,NULL,NULL,NULL
345,68404,1,1,NULL,NULL,NULL
346,68405,1,1,NULL,NULL,NULL
347,68406,1,1,NULL,NULL,NULL
348,68407,1,1,NULL,NULL,NULL
349,68408,1,1,NULL,NULL,NULL
350,68409,1,1,NULL,NULL,NULL
351,68410,1,1,NULL,NULL,NULL
352,68411,1,1,NULL,NULL,NULL
353,68412,1,1,NULL,NULL,NULL
354,68413,1,1,NULL,NULL,NULL
355,68414,1,1,NULL,NULL,NULL
356,68415,1,1,NULL,NULL,NULL
357,68416,1,1,NULL,NULL,NULL
358,68417,1,1,NULL,NULL,NULL
359,68418,1,1,NULL,NULL,NULL
360,68419,1,1,NULL,NULL,NULL
361,68420,1,1,NULL,NULL,NULL
362,68421,1,1,NULL,NULL,NULL
363,68422,1,1,NULL,NULL,NULL
364,68423,1,1,NULL,NULL,NULL
365,68424,1,1,NULL,NULL,NULL
366,68425,1,1,NULL,NULL,NULL
367,68426,1,1,NULL,NULL,NULL
368,68427,1,1,NULL,NULL,NULL
369,68428,1,1,NULL,NULL,NULL
370,68429,1,1,NULL,NULL,NULL
371,68430,1,1,NULL,NULL,NULL
372,68431,1,1,NULL,NULL,NULL
373,68432,1,1,NULL,NULL,NULL
374,68433,1,1,NULL,NULL,NULL
375,68434,1,1,NULL,NULL,NULL
376,68435,1,1,NULL,NULL,NULL
377,68436,1,1,NULL,NULL,NULL
378,68437,1,1,NULL,NULL,NULL
379,68438,1,1,NULL,NULL,NULL
380,68439,1,1,NULL,NULL,NULL
381,68440,1,1,NULL,NULL,NULL
382,68441,1,1,NULL,NULL,NULL
383,68442,1,1,NULL,NULL,NULL
384,68443,1,1,NULL,NULL,NULL
385,68444,1,1,NULL,NULL,NULL
386,68445,1,1,NULL,NULL,NULL
387,68446,1,1,NULL,NULL,NULL
388,68447,1,1,NULL,NULL,NULL
389,68448,1,1,NULL,NULL,NULL
390,68449,1,1,NULL,NULL,NULL
391,68450,1,1,NULL,NULL,NULL
392,68451,1,1,NULL,NULL,NULL
393,68452,1,1,NULL,NULL,NULL
394,68453,1,1,NULL,NULL,NULL
395,68454,1,1,NULL,NULL,NULL
396,68455,1,1,NULL,NULL,NULL
397,68456,1,1,NULL,NULL,NULL
398,68457,1,1,NULL,NULL,NULL
399,68458,1,1,NULL,NULL,NULL
400,68459,1,1,NULL,NULL,NULL
401,68460,1,1,NULL,NULL,NULL
402,68461,1,1,NULL,NULL,NULL
403,68462,1,1,NULL,NULL,NULL
404,68463,1,1,NULL,NULL,NULL
405,68464,1,1,NULL,NULL,NULL
406,68465,1,1,NULL,NULL,NULL
407,68466,1,1,NULL,NULL,NULL
408,68467,1,1,NULL,NULL,NULL
409,68468,1,1,NULL,NULL,NULL
410,68469,1,1,NULL,NULL,NULL
411,68470,1,1,NULL,NULL,NULL
412,68471,1,1,NULL,NULL,NULL
413,68472,1,1,NULL,NULL,NULL
414,68473,1,1,NULL,NULL,NULL
415,68474,1,1,NULL,NULL,NULL
416,68475,1,1,NULL,NULL,NULL
417,68476,1,1,NULL,NULL,NULL
418,68477,1,1,NULL,NULL,NULL
419,68478,1,1,NULL,NULL,NULL
420,68479,1,1,NULL,NULL,NULL
421,68480,1,1,NULL,NULL,NULL
422,68481,1,1,NULL,NULL,NULL
423,68482,1,1,NULL,NULL,NULL
424,68483,1,1,NULL,NULL,NULL
425,68484,1,1,NULL,NULL,NULL
426,68485,1,1,NULL,NULL,NULL
427,68486,1,1,NULL,NULL,NULL
428,68487,1,1,NULL,NULL,NULL
429,68488,1,1,NULL,NULL,NULL
430,68489,1,1,NULL,NULL,NULL
431,68490,1,1,NULL,NULL,NULL
432,68491,1,1,NULL,NULL,NULL
433,68492,1,1,NULL,NULL,NULL
434,68493,1,1,NULL,NULL,NULL
435,68494,1,1,NULL,NULL,NULL
436,68495,1,1,NULL,NULL,NULL
437,68496,1,1,NULL,NULL,NULL
438,68497,1,1,NULL,NULL,NULL
439,68498,1,1,NULL,NULL,NULL
440,68499,1,1,NULL,NULL,NULL
441,68500,1,1,NULL,NULL,NULL
442,68501,1,1,NULL,NULL,NULL
443,68502,1,1,NULL,NULL,NULL
444,68503,1,1,NULL,NULL,NULL
445,68504,1,1,NULL,NULL,NULL
446,68505,1,1,NULL,NULL,NULL
447,68506,1,1,NULL,NULL,NULL
448,68507,1,1,NULL,NULL,NULL
449,68508,1,1,NULL,NULL,NULL
450,68509,1,1,NULL,NULL,NULL
451,68510,1,1,NULL,NULL,NULL
452,68511,1,1,NULL,NULL,NULL
453,68512,1,1,NULL,NULL,NULL
454,68513,1,1,NULL,NULL,NULL
455,68514,1,1,NULL,NULL,NULL
456,68515,1,1,NULL,NULL,NULL
457,68516,1,1,NULL,NULL,NULL
458,68517,1,1,NULL,NULL,NULL
459,68518,1,1,NULL,NULL,NULL
460,68519,1,1,NULL,NULL,NULL
461,68520,1,1,NULL,NULL,NULL
462,68521,1,1,NULL,NULL,NULL
463,68522,1,1,NULL,NULL,NULL
464,68523,1,1,NULL,NULL,NULL
465,68524,1,1,NULL,NULL,NULL
466,68525,1,1,NULL,NULL,NULL
467,68526,1,1,NULL,NULL,NULL
468,68527,1,1,NULL,NULL,NULL
469,68528,1,1,NULL,NULL,NULL
470,68529,1,1,NULL,NULL,NULL
471,68530,1,1,NULL,NULL,NULL
472,68531,1,1,NULL,NULL,NULL
473,68532,1,1,NULL,NULL,NULL
474,68533,1,1,NULL,NULL,NULL
475,68534,1,1,NULL,NULL,NULL
476,68535,1,1,NULL,NULL,NULL
477,68536,1,1,NULL,NULL,NULL
478,68537,1,1,NULL,NULL,NULL
479,68538,1,1,NULL,NULL,NULL
480,68539,1,1,NULL,NULL,NULL
481,68540,1,1,NULL,NULL,NULL
482,68541,1,1,NULL,NULL,NULL
483,68542,1,1,NULL,NULL,NULL
484,68543,1,1,NULL,NULL,NULL
485,68544,1,1,NULL,NULL,NULL
486,68545,1,1,NULL,NULL,NULL
487,68546,1,1,NULL,NULL,NULL
488,68547,1,1,NULL,NULL,NULL
489,68548,1,1,NULL,NULL,NULL
490,68549,1,1,NULL,NULL,NULL
491,68550,1,1,NULL,NULL,NULL
492,68551,1,1,NULL,NULL,NULL
493,68552,1,1,NULL,NULL,NULL
494,68553,1,1,NULL,NULL,NULL
495,68554,1,1,NULL,NULL,NULL
496,68555,1,1,NULL,NULL,NULL
497,68556,1,1,NULL,NULL,NULL
498,68557,1,1,NULL,NULL,NULL
499,68558,1,1,NULL,NULL,NULL
500,68559,1,1,NULL,NULL,NULL
501,68560,1,1,NULL,NULL,NULL
502,68561,1,1,NULL,NULL,NULL
503,68562,1,1,NULL,NULL,NULL
504,68563,1,1,NULL,NULL,NULL
505,68564,1,1,NULL,NULL,NULL
506,68565,1,1,NULL,NULL,NULL
507,68566,1,1,NULL,NULL,NULL
508,68567,1,1,NULL,NULL,NULL
509,68568,1,1,NULL,NULL,NULL
510,68569,1,1,NULL,NULL,NULL
511,68570,1,1,NULL,NULL,NULL
512,68571,1,1,NULL,NULL,NULL
513,68572,1,1,NULL,NULL,NULL
514,68573,1,1,NULL,NULL,NULL
515,68574,1,1,NULL,NULL,NULL
516,68575,1,1,NULL,NULL,NULL
517,68576,1,1,NULL,NULL,NULL
518,68577,1,1,NULL,NULL,NULL
519,68578,1,1,NULL,NULL,NULL
520,68579,1,1,NULL,NULL,NULL
521,68580,1,1,NULL,NULL,NULL
522,68581,1,1,NULL,NULL,NULL
523,68582,1,1,NULL,NULL,NULL
524,68583,1,1,NULL,NULL,NULL
525,68584,1,1,NULL,NULL,NULL
526,68585,1,1,NULL,NULL,NULL
527,68586,1,1,NULL,NULL,NULL
528,68587,1,1,NULL,NULL,NULL
529,68588,1,1,NULL,NULL,NULL
530,68589,1,1,NULL,NULL,NULL
531,68590,1,1,NULL,NULL,NULL
532,68591,1,1,NULL,NULL,NULL
533,68592,1,1,NULL,NULL,NULL
534,68593,1,1,NULL,NULL,NULL
535,68594,1,1,NULL,NULL,NULL
536,68595,1,1,NULL,NULL,NULL
537,68596,1,1,NULL,NULL,NULL
538,68597,1,1,NULL,NULL,NULL
539,68598,1,1,NULL,NULL,NULL
540,68599,1,1,NULL,NULL,NULL
541,68600,1,1,NULL,NULL,NULL
542,68601,1,1,NULL,NULL,NULL
543,68602,1,1,NULL,NULL,NULL
544,68603,1,1,NULL,NULL,NULL
545,68604,1,1,NULL,NULL,NULL
546,68605,1,1,NULL,NULL,NULL
547,68606,1,1,NULL,NULL,NULL
548,68607,1,1,NULL,NULL,NULL
549,68608,1,1,NULL,NULL,NULL
550,68609,1,1,NULL,NULL,NULL
551,68610,1,1,NULL,NULL,NULL
552,68611,1,1,NULL,NULL,NULL
553,68612,1,1,NULL,NULL,NULL
554,68613,1,1,NULL,NULL,NULL
555,68614,1,1,NULL,NULL,NULL
556,68615,1,1,NULL,NULL,NULL
557,68616,1,1,NULL,NULL,NULL
558,68617,1,1,NULL,NULL,NULL
559,68618,1,1,NULL,NULL,NULL
560,68619,1,1,NULL,NULL,NULL
561,68620,1,1,NULL,NULL,NULL
562,68621,1,1,NULL,NULL,NULL
563,68622,1,1,NULL,NULL,NULL
564,68623,1,1,NULL,NULL,NULL
565,68624,1,1,NULL,NULL,NULL
566,68625,1,1,NULL,NULL,NULL
567,68626,1,1,NULL,NULL,NULL
568,68627,1,1,NULL,NULL,NULL
569,68628,1,1,NULL,NULL,NULL
570,68629,1,1,NULL,NULL,NULL
571,68630,1,1,NULL,NULL,NULL
572,68631,1,1,NULL,NULL,NULL
573,68632,1,1,NULL,NULL,NULL
574,68633,1,1,NULL,NULL,NULL
575,68634,1,1,NULL,NULL,NULL
576,68635,1,1,NULL,NULL,NULL
577,68636,1,1,NULL,NULL,NULL
578,68637,1,1,NULL,NULL,NULL
579,68638,1,1,NULL,NULL,NULL
580,68639,1,1,NULL,NULL,NULL
581,68640,1,1,NULL,NULL,NULL
582,68641,1,1,NULL,NULL,NULL
583,68642,1,1,NULL,NULL,NULL
584,68643,1,1,NULL,NULL,NULL
585,68644,1,1,NULL,NULL,NULL
586,68645,1,1,NULL,NULL,NULL
587,68646,1,1,NULL,NULL,NULL
588,68647,1,1,NULL,NULL,NULL
589,68648,1,1,NULL,NULL,NULL
590,68649,1,1,NULL,NULL,NULL
591,68650,1,1,NULL,NULL,NULL
592,68651,1,1,NULL,NULL,NULL
593,68652,1,1,NULL,NULL,NULL
594,68653,1,1,NULL,NULL,NULL
595,68654,1,1,NULL,NULL,NULL
596,68655,1,1,NULL,NULL,NULL
597,68656,1,1,NULL,NULL,NULL
598,68657,1,1,NULL,NULL,NULL
599,68658,1,1,NULL,NULL,NULL
600,68659,1,1,NULL,NULL,NULL
601,68660,1,1,NULL,NULL,NULL
602,68661,1,1,NULL,NULL,NULL
603,68662,1,1,NULL,NULL,NULL
604,68663,1,1,NULL,NULL,NULL
605,68664,1,1,NULL,NULL,NULL
606,68665,1,1,NULL,NULL,NULL
607,68666,1,1,NULL,NULL,NULL
608,68667,1,1,NULL,NULL,NULL
609,68668,1,1,NULL,NULL,NULL
610,68669,1,1,NULL,NULL,NULL
611,68670,1,1,NULL,NULL,NULL
612,68671,1,1,NULL,NULL,NULL
613,68672,1,1,NULL,NULL,NULL
614,68673,1,1,NULL,NULL,NULL
615,68674,1,1,NULL,NULL,NULL
616,68675,1,1,NULL,NULL,NULL
617,68676,1,1,NULL,NULL,NULL
618,68677,1,1,NULL,NULL,NULL
619,68678,1,1,NULL,NULL,NULL
620,68679,1,1,NULL,NULL,NULL
621,68680,1,1,NULL,NULL,NULL
622,68681,1,1,NULL,NULL,NULL
623,68682,1,1,NULL,NULL,NULL
624,68683,1,1,NULL,NULL,NULL
625,68684,1,1,NULL,NULL,NULL
626,68685,1,1,NULL,NULL,NULL
627,68686,1,1,NULL,NULL,NULL
628,68687,1,1,NULL,NULL,NULL
629,68688,1,1,NULL,NULL,NULL
630,68689,1,1,NULL,NULL,NULL
631,68690,1,1,NULL,NULL,NULL
632,68691,1,1,NULL,NULL,NULL
633,68692,1,1,NULL,NULL,NULL
634,68693,1,1,NULL,NULL,NULL
635,68694,1,1,NULL,NULL,NULL
636,68695,1,1,NULL,NULL,NULL
637,68696,1,1,NULL,NULL,NULL
638,68697,1,1,NULL,NULL,NULL
639,68698,1,1,NULL,NULL,NULL
640,68699,1,1,NULL,NULL,NULL
641,68700,1,1,NULL,NULL,NULL
642,68701,1,1,NULL,NULL,NULL
643,68702,1,1,NULL,NULL,NULL
644,68703,1,1,NULL,NULL,NULL
645,68704,1,1,NULL,NULL,NULL
646,68705,1,1,NULL,NULL,NULL
647,68706,1,1,NULL,NULL,NULL
648,68707,1,1,NULL,NULL,NULL
649,68708,1,1,NULL,NULL,NULL
650,68709,1,1,NULL,NULL,NULL
651,68710,1,1,NULL,NULL,NULL
652,68711,1,1,NULL,NULL,NULL
653,68712,1,1,NULL,NULL,NULL
654,68713,1,1,NULL,NULL,NULL
655,68714,1,1,NULL,NULL,NULL
656,68715,1,1,NULL,NULL,NULL
657,68716,1,1,NULL,NULL,NULL
658,68717,1,1,NULL,NULL,NULL
659,68718,1,1,NULL,NULL,NULL
660,68719,1,1,NULL,NULL,NULL
661,68720,1,1,NULL,NULL,NULL
662,68721,1,1,NULL,NULL,NULL
663,68722,1,1,NULL,NULL,NULL
