09PR0014_003s,09PR0014_003,09PR0014,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2017_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0015_001s,09PR0015_001,09PR0015,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2017_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0015_002s,09PR0015_002,09PR0015,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2017_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0015_003s,09PR0015_003,09PR0015,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2017_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0015_004s,09PR0015_004,09PR0015,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2017_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0017_001s,09PR0017_001,09PR0017,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2020_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0017_002s,09PR0017_002,09PR0017,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2020_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0018_001s,09PR0018_001,09PR0018,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2021_012)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0019_001s,09PR0019_001,09PR0019,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0019_002s,09PR0019_002,09PR0019,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0019_003s,09PR0019_003,09PR0019,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0019_004s,09PR0019_004,09PR0019,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0020_001s,09PR0020_001,09PR0020,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_014)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0020_002s,09PR0020_002,09PR0020,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_014)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0020_003s,09PR0020_003,09PR0020,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_014)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0020_004s,09PR0020_004,09PR0020,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_014)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0020_005s,09PR0020_005,09PR0020,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2022_014)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0021_001s,09PR0021_001,09PR0021,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2023_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0021_002s,09PR0021_002,09PR0021,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2023_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0021_003s,09PR0021_003,09PR0021,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2023_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0021_004s,09PR0021_004,09PR0021,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2023_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0021_005s,09PR0021_005,09PR0021,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2023_009)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0021_006s,09PR0021_006,09PR0021,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2023_009)S2,NULL,34,NULL,NULL,NULL,NULL
