09PF0072_000b,NULL,09PF0072,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_039_02_01_sib,P05L0039,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0073_000b,NULL,09PF0073,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_287_02_01_sib,P05L0287,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0074_000b,NULL,09PF0074,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_321_01_01_sib,P05L0321,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0075_000b,NULL,09PF0075,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_231_02_01_sib,P05L0231,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0076_000b,NULL,09PF0076,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_254_02_01_sib,P05L0254,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0077_000b,NULL,09PF0077,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_076_01_01_sib,P05L0076,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0078_000b,NULL,09PF0078,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_121_02_01_sib,P05L0121,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0079_000b,NULL,09PF0079,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_300_02_01_sib,P05L0300,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0081_000b,NULL,09PF0081,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_275_02_01_sib,P05L0275,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0082_000b,NULL,09PF0082,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_330_02_01_sib,P05L0330,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0083_000b,NULL,09PF0083,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_285_02_01_sib,P05L0285,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0084_000b,NULL,09PF0084,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_050_02_01_sib,P05L0050,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0085_000b,NULL,09PF0085,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_069_02_01_sib,P05L0069,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0086_000b,NULL,09PF0086,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_159_02_01_sib,P05L0159,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0087_000b,NULL,09PF0087,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_207_01_01_sib,P05L0207,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0088_000b,NULL,09PF0088,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_334_02_01_sib,P05L0334,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0090_000b,NULL,09PF0090,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_081_02_01_sib,P05L0081,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0091_000b,NULL,09PF0091,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_340_02_01_sib,P05L0340,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0092_000b,NULL,09PF0092,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_339_02_01_sib,P05L0339,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0093_000b,NULL,09PF0093,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_102_02_01_sib,P05L0102,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0094_000b,NULL,09PF0094,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_020_02_01_sib,P05L0020,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0095_000b,NULL,09PF0095,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_072_02_01_sib,P05L0072,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0097_000b,NULL,09PF0097,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_113_02_01_sib,P05L0113,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0098_000b,NULL,09PF0098,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_106_02_01_sib,P05L0106,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0099_000b,NULL,09PF0099,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_269_02_01_sib,P05L0269,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0101_000b,NULL,09PF0101,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_146_02_01_sib,P05L0146,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0102_000b,NULL,09PF0102,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_337_02_01_sib,P05L0337,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0104_000b,NULL,09PF0104,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_349_02_01_sib,P05L0349,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0105_000b,NULL,09PF0105,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_082_02_01_sib,P05L0082,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0106_000b,NULL,09PF0106,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_258_01_01_sib,P05L0258,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0107_000b,NULL,09PF0107,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_209_02_01_sib,P05L0209,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0108_000b,NULL,09PF0108,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_151_02_01_sib,P05L0151,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0109_000b,NULL,09PF0109,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_235_02_01_sib,P05L0235,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0110_000b,NULL,09PF0110,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_239_02_01_sib,P05L0239,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0111_000b,NULL,09PF0111,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_092_02_01_sib,P05L0092,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0112_000b,NULL,09PF0112,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_270_02_01_sib,P05L0270,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0113_000b,NULL,09PF0113,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_267_02_01_sib,P05L0267,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0114_000b,NULL,09PF0114,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_263_02_01_sib,P05L0263,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0115_000b,NULL,09PF0115,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_047_02_01_sib,P05L0047,3,NULL,8 plants sib; seed increase,NULL,NULL
09PF0116_000b,NULL,09PF0116,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_272_02_01_sib,P05L0272,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0117_000b,NULL,09PF0117,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_035_02_01_sib,P05L0035,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0118_000b,NULL,09PF0118,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_083_02_01_sib,P05L0083,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0119_000b,NULL,09PF0119,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_324_02_01_sib,P05L0324,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0120_000b,NULL,09PF0120,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_213_02_01_sib,P05L0213,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0121_000b,NULL,09PF0121,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_137_02_01_sib,P05L0137,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0122_000b,NULL,09PF0122,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_078_02_01_sib,P05L0078,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0123_000b,NULL,09PF0123,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_224_02_01_sib,P05L0224,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0124_000b,NULL,09PF0124,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_268_02_01_sib,P05L0268,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0125_000b,NULL,09PF0125,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_093_01_01_sib,P05L0093,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0126_000b,NULL,09PF0126,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_063_02_01_sib,P05L0063,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0127_000b,NULL,09PF0127,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_282_02_01_sib,P05L0282,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0129_000b,NULL,09PF0129,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_022_02_01_sib,P05L0022,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0130_000b,NULL,09PF0130,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_223_02_01_sib,P05L0223,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0131_000b,NULL,09PF0131,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_236_02_01_sib,P05L0236,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0133_000b,NULL,09PF0133,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_056_02_01_sib,P05L0056,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0134_000b,NULL,09PF0134,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_112_02_01_sib,P05L0112,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0135_000b,NULL,09PF0135,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_085_02_01_sib,P05L0085,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0136_000b,NULL,09PF0136,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_101_02_01_sib,P05L0101,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0137_000b,NULL,09PF0137,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_262_02_01_sib,P05L0262,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0138_000b,NULL,09PF0138,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_327_02_01_sib,P05L0327,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0139_000b,NULL,09PF0139,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_218_02_01_sib,P05L0218,3,NULL,6 plants sib; seed increase,NULL,NULL
