08K0096,NULL,08K,(B73؃ML228)S5,Z003E0177,NULL,07A1327,4,43,5,NULL,NULL,3,NULL,Trial,range:2 plot:43 orientation:S;,3
08K0097,NULL,08K,(B73؃ML228)S5,Z003E0037,NULL,07A1372,3,42,5,NULL,NULL,3,NULL,Trial,range:2 plot:42 orientation:N;,3
08K0098,NULL,08K,(B73؃ML228)S5,Z003E0186,NULL,07A3805,4,42,5,NULL,NULL,3,NULL,Trial,range:2 plot:42 orientation:S;,3
08K0099,NULL,08K,(B73؃ML228)S5,Z003E0112,NULL,07A1519,3,41,5,NULL,NULL,3,NULL,Trial,range:2 plot:41 orientation:N;,3
08K0100,NULL,08K,(B73؃ML228)S5,Z003E0151,NULL,07A5019,4,41,5,NULL,NULL,3,NULL,Trial,range:2 plot:41 orientation:S;,3
08K0101,NULL,08K,(B73؃ML228)S5,Z003E0059,NULL,06A0620,3,40,5,NULL,NULL,3,NULL,Trial,range:2 plot:40 orientation:N;,3
08K0102,NULL,08K,(B73؃ML228)S5,Z003E0118,NULL,07A5729,4,40,5,NULL,NULL,3,NULL,Trial,range:2 plot:40 orientation:S;,3
08K0103,NULL,08K,(B73؃ML228)S5,Z003E0078,NULL,07A4215,3,39,5,NULL,NULL,3,NULL,Trial,range:2 plot:39 orientation:N;,3
08K0104,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,4,39,5,NULL,NULL,3,NULL,Check,range:2 plot:39 orientation:S;,3
08K0105,NULL,08K,(B73؃ML228)S5,Z003E0195,NULL,07A4070,3,38,5,NULL,NULL,3,NULL,Trial,range:2 plot:38 orientation:N;,3
08K0106,NULL,08K,(B73؃ML228)S5,Z003E0122,NULL,07A4118,4,38,5,NULL,NULL,3,NULL,Trial,range:2 plot:38 orientation:S;,3
08K0107,NULL,08K,(B73؃ML228)S5,Z003E0094,NULL,07A3988,3,37,5,NULL,NULL,3,NULL,Trial,range:2 plot:37 orientation:N;,3
08K0108,NULL,08K,B73,Z003E0201,NULL,JK06-D1 bulk,4,37,5,NULL,NULL,3,NULL,CheckB,range:2 plot:37 orientation:S;,3
08K0109,NULL,08K,(B73؃ML228)S5,Z003E0127,NULL,07A4598,3,36,5,NULL,NULL,3,NULL,Trial,range:2 plot:36 orientation:N;,3
08K0110,NULL,08K,(B73؃ML228)S5,Z003E0096,NULL,07A5344,4,36,5,NULL,NULL,3,NULL,Trial,range:2 plot:36 orientation:S;,3
08K0111,NULL,08K,(B73؃ML228)S5,Z003E0019,NULL,07A0779,3,35,6,NULL,NULL,3,NULL,Trial,range:2 plot:35 orientation:N;,3
08K0112,NULL,08K,(B73؃ML228)S5,Z003E0061,NULL,07A4091,4,35,6,NULL,NULL,3,NULL,Trial,range:2 plot:35 orientation:S;,3
08K0113,NULL,08K,B73,Z003E0201,NULL,JK06-D1 bulk,3,34,6,NULL,NULL,3,NULL,CheckB,range:2 plot:34 orientation:N;,3
08K0114,NULL,08K,(B73؃ML228)S5,Z003E0138,NULL,07A3578,4,34,6,NULL,NULL,3,NULL,Trial,range:2 plot:34 orientation:S;,3
08K0115,NULL,08K,(B73؃ML228)S5,Z003E0106,NULL,07A4560,3,33,6,NULL,NULL,3,NULL,Trial,range:2 plot:33 orientation:N;,3
08K0116,NULL,08K,(B73؃ML228)S5,Z003E0065,NULL,07A4950,4,33,6,NULL,NULL,3,NULL,Trial,range:2 plot:33 orientation:S;,3
08K0117,NULL,08K,(B73؃ML228)S5,Z003E0141,NULL,07A2185,3,32,6,NULL,NULL,3,NULL,Trial,range:2 plot:32 orientation:N;,3
08K0118,NULL,08K,(B73؃ML228)S5,Z003E0181,NULL,07A3307,4,32,6,NULL,NULL,3,NULL,Trial,range:2 plot:32 orientation:S;,3
08K0119,NULL,08K,(B73؃ML228)S5,Z003E0154,NULL,07A2599,3,31,6,NULL,NULL,3,NULL,Trial,range:2 plot:31 orientation:N;,3
08K0120,NULL,08K,(B73؃ML228)S5,Z003E0012,NULL,07A4642,4,31,6,NULL,NULL,3,NULL,Trial,range:2 plot:31 orientation:S;,3
08K0121,NULL,08K,(B73؃ML228)S5,Z003E0145,NULL,07A1506,3,30,6,NULL,NULL,3,NULL,Trial,range:2 plot:30 orientation:N;,3
08K0122,NULL,08K,(B73؃ML228)S5,Z003E0182,NULL,07A2152,4,30,6,NULL,NULL,3,NULL,Trial,range:2 plot:30 orientation:S;,3
08K0123,NULL,08K,(B73؃ML228)S5,Z003E0115,NULL,07A5910,3,29,6,NULL,NULL,3,NULL,Trial,range:2 plot:29 orientation:N;,3
08K0124,NULL,08K,(B73؃ML228)S5,Z003E0156,NULL,07A1870,4,29,6,NULL,NULL,3,NULL,Trial,range:2 plot:29 orientation:S;,3
08K0125,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,3,28,6,NULL,NULL,3,NULL,Check,range:2 plot:28 orientation:N;,3
08K0126,NULL,08K,(B73؃ML228)S5,Z003E0100,NULL,06A0457,4,28,6,NULL,NULL,3,NULL,Trial,range:2 plot:28 orientation:S;,3
08K0127,NULL,08K,(B73؃ML228)S5,Z003E0064,NULL,07A5854,3,27,6,NULL,NULL,3,NULL,Trial,range:2 plot:27 orientation:N;,3
08K0128,NULL,08K,(B73؃ML228)S5,Z003E0173,NULL,07A1957,4,27,6,NULL,NULL,3,NULL,Trial,range:2 plot:27 orientation:S;,3
08K0129,NULL,08K,(B73؃ML228)S5,Z003E0045,NULL,07A5823,3,26,6,NULL,NULL,3,NULL,Trial,range:2 plot:26 orientation:N;,3
08K0130,NULL,08K,(B73؃ML228)S5,Z003E0183,NULL,06A0579,4,26,6,NULL,NULL,3,NULL,Trial,range:2 plot:26 orientation:S;,3
08K0131,NULL,08K,(B73؃ML228)S5,Z003E0139,NULL,07A3796,3,25,6,NULL,NULL,3,NULL,Trial,range:2 plot:25 orientation:N;,3
08K0132,NULL,08K,(B73؃ML228)S5,Z003E0049,NULL,07A4883,4,25,6,NULL,NULL,3,NULL,Trial,range:2 plot:25 orientation:S;,3
08K0133,NULL,08K,B73,Z003E0201,NULL,07PN0031,3,24,7,NULL,NULL,3,NULL,Check2,range:2 plot:24 orientation:N;,3
08K0134,NULL,08K,(B73؃ML228)S5,Z003E0114,NULL,07A2124,4,24,7,NULL,NULL,3,NULL,Trial,range:2 plot:24 orientation:S;,3
08K0135,NULL,08K,(B73؃ML228)S5,Z003E0108,NULL,07A5593,3,23,7,NULL,NULL,3,NULL,Trial,range:2 plot:23 orientation:N;,3
08K0136,NULL,08K,(B73؃ML228)S5,Z003E0132,NULL,07A4722,4,23,7,NULL,NULL,3,NULL,Trial,range:2 plot:23 orientation:S;,3
08K0137,NULL,08K,(B73؃ML228)S5,Z003E0020,NULL,07A2085,3,22,7,NULL,NULL,3,NULL,Trial,range:2 plot:22 orientation:N;,3
08K0138,NULL,08K,(B73؃ML228)S5,Z003E0006,NULL,07A4132,4,22,7,NULL,NULL,3,NULL,Trial,range:2 plot:22 orientation:S;,3
08K0139,NULL,08K,(B73؃ML228)S5,Z003E0178,NULL,07A4251,3,21,7,NULL,NULL,3,NULL,Trial,range:2 plot:21 orientation:N;,3
08K0140,NULL,08K,(B73؃ML228)S5,Z003E0005,NULL,07A4986,4,21,7,NULL,NULL,3,NULL,Trial,range:2 plot:21 orientation:S;,3
08K0141,NULL,08K,(B73؃ML228)S5,Z003E0117,NULL,07A4895,3,20,7,NULL,NULL,3,NULL,Trial,range:2 plot:20 orientation:N;,3
08K0142,NULL,08K,(B73؃ML228)S5,Z003E0046,NULL,07A3633,4,20,7,NULL,NULL,3,NULL,Trial,range:2 plot:20 orientation:S;,3
08K0143,NULL,08K,B73,Z003E0201,NULL,JK06-D1 bulk,3,19,7,NULL,NULL,3,NULL,CheckB,range:2 plot:19 orientation:N;,3
08K0144,NULL,08K,(B73؃ML228)S5,Z003E0142,NULL,07A1082,4,19,7,NULL,NULL,3,NULL,Trial,range:2 plot:19 orientation:S;,3
08K0145,NULL,08K,(B73؃ML228)S5,Z003E0090,NULL,07A5319,3,18,7,NULL,NULL,3,NULL,Trial,range:2 plot:18 orientation:N;,3
08K0146,NULL,08K,(B73؃ML228)S5,Z003E0107,NULL,06A0533,4,18,7,NULL,NULL,3,NULL,Trial,range:2 plot:18 orientation:S;,3
08K0147,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,3,17,7,NULL,NULL,3,NULL,Check,range:2 plot:17 orientation:N;,3
08K0148,NULL,08K,(B73؃ML228)S5,Z003E0180,NULL,07A5661,4,17,7,NULL,NULL,3,NULL,Trial,range:2 plot:17 orientation:S;,3
08K0149,NULL,08K,(B73؃ML228)S5,Z003E0001,NULL,07A4689,3,16,7,NULL,NULL,3,NULL,Trial,range:2 plot:16 orientation:N;,3
08K0150,NULL,08K,(B73؃ML228)S5,Z003E0144,NULL,07A3830,4,16,7,NULL,NULL,3,NULL,Trial,range:2 plot:16 orientation:S;,3
08K0151,NULL,08K,(B73؃ML228)S5,Z003E0153,NULL,07A5581,3,15,7,NULL,NULL,3,NULL,Trial,range:2 plot:15 orientation:N;,3
08K0152,NULL,08K,(B73؃ML228)S5,Z003E0040,NULL,07A4553,4,15,7,NULL,NULL,3,NULL,Trial,range:2 plot:15 orientation:S;,3
