88,St1002x,St1002x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
89,St1003x,St1003x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
90,St1004x,St1004x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
91,St1005x,St1005x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
92,St1006x,St1006x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
93,St1007x,St1007x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
94,St1008x,St1008x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
95,St1009x,St1009x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
96,St1010x,St1010x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
97,St1011x,St1011x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
98,St1012x,St1012x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
99,St1013x,St1013x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
100,St1014x,St1014x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
101,St1015x,St1015x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
102,St1016x,St1016x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
103,St1017x,St1017x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
