"('09PN0482_006x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0482_007x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0484_005x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0484_006x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0484_007x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0484_008x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0484_009x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0484_010x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0485_002s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0485_003s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0485_005x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0485_006x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0485_007x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0485_008x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0485_009x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_001s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_002s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_003s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_005x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_006x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_007x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
